codArea,nombre,porcTRC,porcINS,porcAER,porcSCF
ADD,Análisis de datos,2.5,1.875,1.875,1.875
AER,Aeronáutica,0.0,0.0,25.0,0.0
AUT,Automática,11.0,8.25,8.25,8.25
CIB,Ciencias básicas,27.0,20.25,20.25,20.25
CYD,Comunicación y dibujo,7.5,5.625,5.625,5.625
FPH,Formación profesional y habilidades interpersonales,11.0,8.25,8.25,8.25
IEE,Ingeniería eléctrica y electrónica,17.0,12.75,12.75,12.75
IMM,Ingeniería mecánica y de materiales,24.0,18.0,18.0,18.0
INS,Instalaciones electromecánicas,0.0,25.0,0.0,0.0
SCF,Sistemas ciberfísicos,0.0,0.0,0.0,25.0
TOT,Total,100.0,100.0,100.0,100.0
