rasgo,EJT01,EJT02,EJT03,EJT04,EJT05,EJT06,EJT07,EJT08,EJT09,MCA01,MCA02,MCA03,MCA04,MCA05,MCA06,MCA07,MCA08,MCA09,MCA10,ODS07,ODS09
CIB01,,,,,,,,,,,,,,,,,,,,,
FPH01,,,,,,,,,,,,,,,,,,,,,
FPH02,,,,,,,,,,,,,,,,,,,,,
FPH03,,,,,,,,,,,,,,,,,,,,,
CYD01,,,,,,,,,,,,,,,,,,,,,
IEE01,,,,,,,,,,,,,,,,,,,,,
IEE02,,,,,,,,,,,,,,,,,,,,,
IEE03,,,,,,,,,,,,,,,,,,,,,
IMM01,,,,,,,,,,,,,,,,,,,,,
IMM02,,,,,,,,,,,,,,,,,,,,,
AUT01,,,,,,,,,,,,,,,,,,,,,
AUT02,,,,,,,,,,,,,,,,,,,,,
AUT03,,,,,,,,,,,,,,,,,,,,,
ADD01,,,,,,,,,,,,,,,,,,,,,
ADD02,,,,,,,,,,,,,,,,,,,,,
INS02,,,,,,,,,,,,,,,,,,,,,
INS03,,,,,,,,,,,,,,,,,,,,,
INS04,,,,,,,,,,,,,,,,,,,,,
INS05,,,,,,,,,,,,,,,,,,,,,
AER01,,,,,,,,,,,,,,,,,,,,,
AER02,,,,,,,,,,,,,,,,,,,,,
AER03,,,,,,,,,,,,,,,,,,,,,
AER04,,,,,,,,,,,,,,,,,,,,,
AER05,,,,,,,,,,,,,,,,,,,,,
SCF01,,,,,,,,,,,,,,,,,,,,,
SCF02,,,,,,,,,,,,,,,,,,,,,
SCF03,,,,,,,,,,,,,,,,,,,,,
SCF04,,,,,,,,,,,,,,,,,,,,,
SCF05,,,,,,,,,,,,,,,,,,,,,
SCF07,,,,,,,,,,,,,,,,,,,,,
SCF08,,,,,,,,,,,,,,,,,,,,,
LID01,,,,,,,,,,,,,,,,,,,,,
SYC02,,,,,,,,,,,,,,,,,,,,,
IPR01,,,,,,,,,,,,,,,,,,,,,
