id,nombre,codSaber
CIB0001,Matemática general,MAT
CYD0002,Prueba avanzada de inglés,ING
CIB0101,Cálculo diferencial e integral,MAT
CIB0102,Física general I,FIS
CIB0103,Laboratorio de física general I,FIS
CIB0104,Química básica I,QUI
CIB0105,Laboratorio de química básica I,QUI
CYD0106,Comunicación escrita,COE
CYD0107,Dibujo técnico,DPI
FPH0108,Introducción a la Ingeniería Electromecánica,ESC;HIP
CIB0201,Cálculo y álgebra lineal,MAT
CIB0202,Física general II,FIS
CIB0203,Laboratorio de física general II,FIS
AUT0205,Introducción a la computación,PRO;MAC
CYD0206,Comunicación oral,COE
IMM0207,Estática,MSF
FPH0208,Relaciones laborales,ESC;HIP
FPH0209,Introducción a la técnica ciencia y tecnología,ESC
CIB0301,Ecuaciones diferenciales,MAT
CIB0302,Física general III,MAT
IEE0303,Análisis de circuitos I,CEE
IEE0304,Laboratorio de circuitos I,CEE;MET
IEE0305,Transductores,IYT
IMM0307,Dinámica,MSF
FPH0308,Seminario de ética para la ingeniería,ESC
FPH0309,Actividad cultural I,HIP
CIB0401,Cálculo superior,MAT
CIB0402,Métodos numéricos para ingeniería,MAT
IEE0403,Análisis de circuitos II,CEE
IEE0404,Laboratorio de circuitos II,CEE;MET
IEE0405,Instrumentación,IYT;MET
IMM0407,Termodinámica,TTC
FPH0408,Seminario de estudios costarricenses,ESC
FPH0409,Actividad deportiva I,HIP
FPH0501,Desarrollo de emprendedores,EMP
ADD0502,Estadística aplicada,EYD
AUT0504,Modelado y simulación de sistemas,MYS
IMM0506,Ciencia e ingeniería de los materiales,CIM
IMM0507,Manufactura,MAN;CIM
IMM0508,Laboratorio de manufactura,MAN;CIM;MET
CYD0601,Inglés para electromecánica,ING
ADD0602,Fiabilidad y disponibilidad de sistemas electromecánicos,CDM
IEE0503,Sistemas analógicos,CEE
IMM0605,Resistencia de materiales,TTC
IMM0606,Transferencia de calor,MSF
IMM0607,Mecánica de fluidos,MSF
IMM0608,Laboratorio de mecánica de fluidos,MSF;MET
CYD0609,Dibujo industrial,DPI
FPH0701,Administración de proyectos,ADP
IEE0702,Máquinas eléctricas I,MEE
IEE0703,Laboratorio de máquinas eléctricas I,MEE;MET
AUT0704,Control automático,SCA
AUT0705,Microcontroladores,MAC
IMM0706,Elementos de máquinas,EDM
IMM0707,Sistemas térmicos,TTC
IMM0708,Laboratorio de sistemas térmicos,TTC;MET
IEE0802,Máquinas eléctricas II,MEE
IEE0803,Laboratorio de máquinas eléctricas II,MEE;MET
AUT0804,Control por eventos discretos,SCA
AUT0805,Laboratorio de control,SCA
FPH0809,Actividad cultural - deportiva,HIP
INS0801,Sistemas eléctricos de transmisión y distribución,DTE
INS0806,Instalaciones eléctricas,IEM
INS0807,Ventilación y aire comprimido,IEM
INS0808,Gestión del mantenimiento,GCV
INS0901,Sistemas de generación y almacenamiento de energía,GAE
INS0903,Sistemas de refrigeración y aire acondicionado,IEM
INS0904,Laboratorio de refrigeración y aire acondicionado,IEM;MET
INS0905,Seminario de graduación I,LID;SYC;IPR
INS0906,Instalaciones mecánico-sanitarias,IEM
INS0907,Laboratorio de sistemas de fluidos,IEM;MET
INS0908,Sistemas de vapor,IEM
INS0909,Laboratorio de sistemas de vapor,IEM;MET
INS1003,Gestión de la energía,GEE
INS1005,Seminario de graduación II,LID;SYC;IPR
INS1006,Gestión del ciclo de vida de instalaciones electromecánicas,GCV
INS1007,Taller de neumática y oleohidráulica,IEM
AER0801,Sistemas de la aeronave,GCA
AER0806,Máquinas y mecanismos,AME
AER0807,Materiales en aeronáutica,AME
AER0808,Taller de metrología aeronáutica,SAA
AER0901,Aviónica,ADC
AER0902,Aerodinámica,ACP
AER0903,Dinámica de vuelo,ADC
AER0905,Seminario de graduación I,LID;SYC;IPR
AER0906,Análisis mecánico de estructuras de la aeronave,AME
AER0908,Seguridad aeronáutica y aeronavegabilidad,SAA
AER1001,Gestión del ciclo de vida de la aeronave,GCA
AER1002,Sistemas de propulsión,ACP
AER1003,Control automático de vuelo,ADC
AER1005,Seminario de graduación II,LID;SYC;IPR
SCF0801,Ingeniería de sistemas,ISC
SCF0806,Máquinas y mecanismos,VRD
SCF0807,Aplicaciones de sistemas embebidos,ETR
SCF0808,Fundamentos de ciberseguridad,CIB
SCF0901,Modelado numérico y simulación computacional,ISC
SCF0902,Circuitos integrados y aplicaciones,ISC
SCF0903,Machine Learning e Inteligiencia Artificial,ETR
SCF0906,Robótica,VRD
SCF0907,Automatización y digitalización industrial,IOT;VRD;ISC;SYC
SCF1001,Taller de integración de sistemas,ISC;HMI;LID
SCF1002,Diseño de interfases humano-máquina,ISC;HMI;SYC
SCF1003,Trabajo final de graduación,LID;SYC
SCF1007,Visión de máquina,VRD;ISC
